sta,per.gravel.c,per.gravel.f,per.sand.c,per.sand.m,per.sand.f,per.fines,per.TOC
BI-HN1            ,0,0,1.2,5,48.4,45.4,0.49
BI-HN2            ,0,0,0,22.6,74.3,3.1,0.069
BI-HS1             ,0,0,0,1.8,95.9,2.3,0.078
BI-HS2            ,0,0,0,1.3,96.7,2,0.067
BI-DK15          ,0,0,0,0.6,96.8,2.6,ND
BI-NDK4         ,0,0,0.1,21.6,74.9,3.4,ND
BI-DK13          ,0,0,0,11.7,87.5,0.8,ND
BI-SDK4          ,0,0,0,7.5,90.9,1.6,ND
BI-DK11          ,0,0,0,70.2,27.9,1.9,ND
BI-NDK3         ,0,0,0,9.7,88.3,2,ND
BI-NDK7         ,0,0,0,25.3,73.5,1.2,ND
BI-DK9            ,0,0,0,10.1,87.7,2.2,ND
BI-SDK6         ,0,0,0,4,93.8,2.2,ND
BI-SDK3          ,0,0,0,3.9,93,3.1,ND
BI-SDK5          ,0,0,0,3.2,94.5,2.3,ND
BI-DK7            ,0,0,0,5.8,92.8,1.4,ND
BI-NDK2         ,0,0,0,6.6,91.3,2.1,0.06
BI-DK5            ,0,0,0,18.9,79.5,1.6,ND
BI-SDK2          ,0,0,0,12.1,86.9,1,ND
BI-SDK1          ,0,0,0,0.8,97.6,1.6,ND
BI-DK3            ,0,0,0,5.9,93,1.1,ND
BI-NDK6         ,0,0,0,3.9,89.3,6.8,0.126
BI-NDK1        ,0,0,0,1.6,97.1,1.3,ND
BI-DK1            ,0,0,0.1,14.6,82.8,2.5,0.067
BI-NDK8         ,0,0,2.8,13.9,52.7,30.6,0.501
BI-NDK5         ,0,0,0,9.9,88.3,1.8,0.068
BI-ES26           ,0,0,0,2.1,97.3,0.6,ND
BI-ES25           ,0,0,0,1.7,96.6,1.7,ND
BI-ES24           ,0,0,0,1.7,97,1.3,ND
BI-ES20           ,0,0,0,2.3,96.4,1.3,ND
BI-ES21           ,0,0,0,1.7,96.6,1.7,ND
BI-ES19           ,0,0,0,5.7,92.7,1.6,0.068
BI-ES18           ,0,0,0.4,1.5,82.5,15.6,0.281
BI-ES23           ,0,0,0,4.9,94,1.1,ND
BI-ES22          ,0,0,0,17.1,81.6,1.3,ND
BI-CC14          ,0,0,0.1,1.8,95.1,3,ND
BI-CC15          ,0,0,0,1.4,95.7,2.9,ND
BI-CC16          ,0,0,0,5.6,90.3,4.1,ND
BI-CC17          ,0,0,0,1.6,98,0.4,ND
BI-CC13          ,0,0,0,27.7,69.6,2.7,0.081
BI-CC8            ,0,0,0.7,12.4,22.8,64.1,0.616
BI-CC12          ,0,0,0.1,1.7,87.9,10.6,0.446
BI-CC7            ,0,0,1.4,9.5,30.9,58.2,0.553
BI-CC11          ,0,0,0.4,6.5,71.5,21.6,0.393
BI-CC6           ,0,0,0,6.7,84.1,9.2,0.166
BI-CC10          ,0,0,0.6,9.9,30,59.5,0.501
BI-CC9            ,0,0,1.9,10.9,34.6,52.6,0.575
BI-CC5            ,0,0,1.3,18,39.7,41,0.51
BI-WS9            ,0,0,0.1,1,92.3,6.6,0.111
BI-WS8            ,0,0,0.1,0.6,87.5,11.8,0.201
BI-WS7            ,0,0.2,2.3,3.6,69.7,24.2,0.501
BI-WS3           ,0,0,0.1,1.2,91.5,7.2,0.13
BI-WS4            ,0,0,0.2,2.4,92.1,5.3,0.075
BI-WS1            ,0,0,4.3,12.4,36.3,47,0.581
BI-WS2            ,0,0,0.5,13.9,81.1,4.5,0.11
BI-WS6            ,0,0,0.9,11.5,32.3,55.3,0.592
BI-WS5           ,0,0,0,2.3,93.8,3.9,0.076
GS-2                 ,0,0,0,4.9,91.8,3.3,0.124
GS-3                 ,0,0,0.1,1.7,94.8,3.4,0.062
GS-5                 ,0,0,0,1.9,97.2,0.9,0.065
BI-SIP3            ,0,0,0,0.4,87.6,12,0.178
BI-SIP4            ,0,0,0,1.7,94.9,3.4,0.111
BI-SIP6            ,0,0,0,3.1,95.7,1.2,0.061
GS-22                ,0,0,0,1.3,94.1,4.6,0.127
GS-23               ,0,0,0.1,0.8,34.8,64.3,0.404
GS-25               ,0,0,0,0.7,26.6,72.7,0.525
GS-28               ,0,0,0,1.8,96.6,1.6,ND
GS-27               ,0,0,0.1,1.2,92.6,6.1,0.135
BI-SIP2            ,0,0,0.1,2.8,94.7,2.4,0.067
BI-SIP1            ,0,0.1,0.6,9.8,88.2,1.3,ND
GS-20               ,0,0,0.1,27.4,71.2,1.3,ND
GS-10                ,0,0,0,19.1,78.6,2.3,ND
GS-9                 ,0,0,0.1,15.4,82.8,1.7,ND
BS1                  ,0,0,0,2,94.6,3.4,ND
BS2                   ,0,0,10,3.8,3.9,82.3,0.567
BS3                   ,0,15.2,7.1,7.6,3.4,66.7,0.534
BS4                   ,0,0,0.5,1.4,45.8,52.3,0.448
BS5                   ,0,0,5.4,3.8,19.9,70.9,0.548
BS6                   ,0,3.9,12.4,9.8,24.2,49.7,0.468
